Cell_id,Condition,Replica,Dex_Conc,Time_index,Time_TPL,Nuc_Area,Cyto_Area,Nuc_GR_avg_int,Cyto_GR_avg_int,Nuc_DUSP1_avg_int,Cyto_DUSP1_avg_int,RNA_DUSP1_nuc,RNA_DUSP1_cyto,DUSP1_ts_size_0,DUSP1_ts_size_1,DUSP1_ts_size_2,DUSP1_ts_size_3
0,DUSP1_timesweep,D,0.0,0,,8239,13579.0,,,1480.39216,1388.03469,90.0,110.0,4.0,,,
1,DUSP1_timesweep,D,0.0,0,,8651,15915.0,,,1251.72477,1292.6585,8.0,68.0,,,,
2,DUSP1_timesweep,D,0.0,0,,8895,13646.0,,,1447.23687,1472.12773,44.0,110.0,,,,
3,DUSP1_timesweep,D,0.0,0,,7593,14932.0,,,1368.53075,1408.795,33.0,110.0,,,,
4,DUSP1_timesweep,D,0.0,0,,10156,20646.0,,,1474.01881,1424.44842,54.0,102.0,,,,
5,DUSP1_timesweep,D,0.0,0,,9719,19230.0,,,1308.48853,1311.05902,15.0,44.0,,,,
6,DUSP1_timesweep,D,0.0,0,,10293,18664.0,,,1255.16166,1199.37854,19.0,33.0,30.0,,,
7,DUSP1_timesweep,D,0.0,0,,9860,19501.0,,,1503.12008,1422.14722,92.0,141.0,,,,
8,DUSP1_timesweep,D,0.0,0,,9783,15241.0,,,1469.70316,1469.42261,48.0,134.0,,,,
9,DUSP1_timesweep,D,0.0,0,,7686,16099.0,,,1385.97476,1371.30617,44.0,81.0,,,,
10,DUSP1_timesweep,D,0.0,0,,9277,20068.0,,,1462.89975,1438.7339,36.0,73.0,,,,
11,DUSP1_timesweep,D,0.0,0,,7329,19212.0,,,1303.77296,1309.57875,14.0,50.0,,,,
12,DUSP1_timesweep,D,0.0,0,,7895,13261.0,,,1427.65548,1404.87444,40.0,69.0,,,,
13,DUSP1_timesweep,D,0.0,0,,7614,12789.0,,,1302.75978,1277.34944,17.0,26.0,,,,
